代码,名称,市盈率,市净率,股息率,历史ROE,近三年ROE,近五年ROE,市值
sh600068,葛洲坝,6.4,0.68,4.19,11.13,14.94,15.9,294.25
sz002555,三七互娱,27.91,4.58,1.45,17.36,18.61,23.76,293.87
sh600208,新湖中宝,11.57,0.85,1.68,12.21,11.37,14.28,292.38
sz002385,大北农,101.79,2.99,2.21,17.55,10.74,9.34,292.34
sh600489,中金黄金,168.68,2.1,0.36,11.32,1.63,2.23,287.82
sh600522,中天科技,13,1.41,1.08,13.5,11.62,12.14,284.53
sz000050,深天马A,34.31,1.08,0.51,5.39,6.87,4.55,283.87
sh600109,国金证券,24.88,1.42,0.53,9.33,9.66,6.52,283.38
sh600219,南山铝业,20.31,0.74,2.53,7.54,4.42,4.53,283.23
sz000999,华润三九,13,2.36,1.59,11.75,15.19,14.23,282.9
sz000553,安道麦A,38.36,1.27,0.54,5.94,10.99,7.9,282.82
sz300628,亿联网络,30.73,7.54,1.7,54.2,51.77,41.64,281.54
sh600566,济川药业,16.25,4.71,2.9,15.32,30.25,32.16,281.39
sz002241,歌尔股份,31.6,1.82,1.16,21.83,15.2,12.87,280.38
sz300433,蓝思科技,65.19,1.65,3.22,35.47,12.18,9,280.38
sz000671,阳光城,9.02,1.2,0.72,14.82,18.65,13.49,279.86
sh601158,重庆水务,19.42,1.87,5.15,12.99,11.17,11.09,279.84
sh600118,中国卫星,66.08,5.07,0.47,9.65,8.32,8.13,279.3
sz002081,金螳螂,12.83,2.01,1.44,29.37,20.59,17.72,278.61
sh601231,环旭电子,22.91,2.9,1.45,14.45,13.71,13.6,278.52
sh600845,宝信软件,38.5,4.14,0.54,12.53,11.03,9.98,278.28
sz002399,海普瑞,25.72,4.21,0.2,26.47,5.33,5.22,278.13
sh603658,安图生物,47.24,13.54,1.09,40.9,37.69,30.7,277.62
sh601869,长飞光纤,20.13,3.28,1.37,23.12,23.12,22.69,275.95
sh600776,东方通信,228.1,8.94,0.27,3.19,4.69,3.74,275.94
sz002129,中环股份,39.6,2.04,0.2,7.37,4.06,4.77,275.17
sh600998,九州通,18.99,1.55,0.68,11.68,8.55,8.74,274.7
sz002373,千方科技,33.73,3.35,0.22,28.07,17.82,10.81,274.43
sz000031,大悦城,11.79,1.64,0.79,9.3,13.63,15.41,274.42
sh600089,特变电工,13.68,0.82,2.86,12.88,8.53,8.13,273.02
sh601880,大连港,40.65,1.48,1.09,5.73,3.22,2.92,272.07
sz300450,先导智能,35.63,7.47,0.74,26.9,29.21,31.22,271.99
sh600369,西南证券,71.66,1.42,1.04,0.1,7.64,3.18,270.97
sz000423,东阿阿胶,14.49,2.32,2.17,19.07,23.17,22.09,270.76
sh600183,生益科技,27.04,4.07,3.53,15.58,15.31,17.39,270.52
sh600642,申能股份,13.25,1.01,3.37,12.49,8.57,8,270.39
sh600372,中航电子,53.68,3.55,0.39,-1.18,8.68,7.68,269.19
sz002180,纳思达,27.88,5.31,0.48,26,26.74,21.85,266.7
sz000066,中国长城,30.04,4.23,0.66,8.96,6.74,9.36,266.6
